Query,Category,Response,,,
What is Aadhaar?,General,Aadhaar is a 12-digit unique identification number issued by UIDAI to Indian residents based on their biometric and demographic data.,,,
How can I apply for Aadhaar?,Enrollment,You can apply for Aadhaar by visiting your nearest Aadhaar Enrollment Center with valid proof of identity and address documents.,,,
Where can I find my nearest Aadhaar Enrollment Center?,Enrollment,You can locate your nearest Aadhaar Enrollment Center by visiting the official UIDAI website at https://appointments.uidai.gov.in.,,,
How long does it take to get an Aadhaar card after enrollment?,Processing,Usually  it takes about 2 to 3 weeks for your Aadhaar card to be generated and delivered after successful enrollment.,,,
How can I check my Aadhaar status?,Status,You can check your Aadhaar status on the UIDAI website using your enrollment ID (EID) provided in the acknowledgment slip.,,,
Can I update my Aadhaar details online?,Update,yes you can update certain details like address online using the UIDAI Self-Service Update Portal.,,,
What details can be updated in Aadhaar online?,Update,Currently, only the address can be updated online through the UIDAI Self-Service Update Portal.,,
What if I have lost my Aadhaar card?,General,You can download a digital copy of your Aadhaar (e-Aadhaar) from the UIDAI website using your Aadhaar number or enrollment ID.,,,
Is e-Aadhaar valid like the physical Aadhaar card?,General,Yes, e-Aadhaar is equally valid and accepted everywhere as the physical Aadhaar card.,,
How can I link my Aadhaar with my mobile number?,Update,You can link your Aadhaar with your mobile number by visiting the nearest Aadhaar Enrollment Center or your telecom provider’s outlet.,,,
Is Aadhaar mandatory for filing income tax returns?,Regulations,Yes, Aadhaar is mandatory for filing income tax returns and for linking with PAN as per government regulations.,,
How can I link Aadhaar with my PAN?,Update,You can link your Aadhaar with PAN by visiting the income tax e-filing portal and following the ‘Link Aadhaar’ option.,,,
Can foreign nationals get an Aadhaar?,Eligibility,No, only Indian residents who have lived in India for at least 182 days in the past 12 months are eligible for Aadhaar.,,
What is the fee for updating Aadhaar details?,Charges,UIDAI charges ₹50 for demographic updates and ₹100 for biometric updates at Aadhaar centers.,,,
Can I have more than one Aadhaar number?,Regulations,No, it is illegal to possess more than one Aadhaar number as each resident is entitled to only one.,,
How can I check if my Aadhaar is active?,Status,You can verify the status of your Aadhaar by visiting https://resident.uidai.gov.in/verify.,,,
Can I use Aadhaar as proof of address?,General,Yes, Aadhaar is widely accepted as a valid proof of identity and address across India.,,
What is the difference between Aadhaar number and enrollment ID?,General,The Aadhaar number is your unique 12-digit identity number, while the enrollment ID (EID) is a temporary 28-digit number given at the time of registration.,,
What documents are required for Aadhaar enrollment?,Enrollment,You need valid proof of identity (POI) and proof of address (POA) documents such as PAN, passport, voter ID, or utility bills.
Can I update my mobile number in Aadhaar online?,Update,No, mobile number updates require biometric verification and must be done at an Aadhaar Enrollment Center.,,
How can I download my e-Aadhaar?,General,You can download your e-Aadhaar from https://eaadhaar.uidai.gov.in using your Aadhaar number or enrollment ID and OTP verification.,,,
My Aadhaar card has errors. How can I fix them?,Update,You can correct errors by visiting your nearest Aadhaar Enrollment Center or using the UIDAI Self-Service Update Portal for address corrections.,,,
Can I use Aadhaar for opening a bank account?,Usage,Yes, Aadhaar is accepted as a valid document for KYC when opening a bank account.,,
Is it safe to share my Aadhaar number?,Security,Yes, but share it only with trusted organizations. You can also use a masked Aadhaar for extra privacy.,,
What is masked Aadhaar?,Security,Masked Aadhaar displays only the last 4 digits of your Aadhaar number and hides the first 8 digits for security purposes.,,,
How can I book an appointment for Aadhaar update?,Update,You can book an appointment for Aadhaar update at the UIDAI website under the 'Book Appointment' section.,,,
Can children apply for Aadhaar?,Eligibility,Yes, Aadhaar can be issued to children including newborns with their birth certificate and parent’s Aadhaar as proof.,,
How can I check my Aadhaar update status?,Status,You can check your Aadhaar update status by visiting https://ssup.uidai.gov.in and entering your Update Request Number (URN).,,,
What if I don’t have proof of address?,Enrollment,You can still enroll using the address of your head of family or introducer, as per UIDAI guidelines.,,
