question,answers,category
What is NovaEdge Technologies and what should new employees know?,"Welcome to NovaEdge Technologies. NovaEdge is a technology-driven organization focused on operational excellence, innovation, and employee empowerment. This handbook provides practical guidance to help employees navigate daily tasks, policies, and common requests. For IT-related issues, employees should use the CogniAssist chat to automatically create tickets and receive guided resolution steps.",Company
What is the vision and mission of NovaEdge Technologies?,"NovaEdge Technologies’ vision is to deliver secure, scalable, and intelligent digital solutions while fostering a culture of accountability and continuous learning. The mission is to empower employees with clear processes, efficient tools, and transparent communication to support business and personal growth.",Company
How do new employees get started at NovaEdge Technologies?,"The Getting Started guide helps new employees understand essential tools, workflows, and internal processes. Employees are encouraged to review onboarding materials, access internal systems, and use CogniAssist for IT or HR-related assistance. Step-by-step instructions are provided to ensure a smooth transition.",HR
What does the IT & Security Guide cover at NovaEdge Technologies?,"The IT & Security Guide outlines best practices for system access, password management, data protection, and acceptable use of company resources. Employees must follow security protocols and report incidents using CogniAssist to ensure compliance and protect company data.",IT
How can employees use CogniAssist effectively?,"CogniAssist is NovaEdge Technologies’ internal support assistant used for IT, HR, and operational requests. Employees can use the chat interface to raise issues, automatically create support tickets, track progress, and receive step-by-step guidance for common tasks.",IT
How do employees set up VPN and remote work access?,"The VPN & Remote Work Setup guide explains how employees can securely access company systems from remote locations. Employees must follow setup instructions, comply with security policies, and use CogniAssist to request assistance or report access issues.",IT
How can employees request hardware at NovaEdge Technologies?,"Employees can request laptops, peripherals, and other hardware through approved procedures. Requests must be submitted via CogniAssist with required justifications. IT reviews requests and responds according to defined SLA timelines.",IT
Where can employees find payroll-related information?,"The Payroll FAQ provides answers to common questions about salary processing, payslips, deductions, and payment timelines. Employees should submit payroll queries through CogniAssist to ensure timely resolution by HR or Finance teams.",Finance
How are performance reviews and promotions handled at NovaEdge Technologies?,"The Performance & Promotions guide explains evaluation cycles, performance criteria, and promotion processes. Employees are encouraged to set goals, participate in reviews, and raise related queries via CogniAssist for clarity and escalation if required.",HR
How can employees contact support or get help at NovaEdge Technologies?,"The Contact & Support section provides guidance on how employees can seek assistance for IT, HR, Finance, or general concerns. CogniAssist is the primary channel for support requests, ticket tracking, and guided resolutions.",Company
