question,answers,category
What is the Introduction & Purpose policy at NovaEdge Technologies?,NovaEdge Technologies maintains the Introduction & Purpose policy. Employees are expected to follow outlined responsibilities and procedures. Requests must be submitted through CogniAssist and escalation matrices followed. HR or IT will respond within SLA timelines. For urgent matters,
What is the Leave Policy at NovaEdge Technologies?,The Leave Policy defines responsibilities and procedures for applying leave. Employees must submit requests through CogniAssist. HR will respond within SLA timelines. Urgent leave matters should be marked as High or Critical.,HR
What are the Hybrid Work Guidelines at NovaEdge Technologies?,Hybrid Work Guidelines describe procedures for remote and hybrid working. Requests and queries must be raised through CogniAssist and escalated if required. HR or IT will respond within SLA timelines.,HR
What is the Performance Review Policy at NovaEdge Technologies?,The Performance Review Policy outlines evaluation procedures,
What benefits and insurance policies are provided by NovaEdge Technologies?,The Benefits & Insurance policy explains employee benefits,
What is the Code of Conduct at NovaEdge Technologies?,The Code of Conduct defines expected employee behavior and organizational standards. Reporting and procedures must be followed via CogniAssist. HR or IT responds within SLA timelines.,Policy
What is the IT Security Policy at NovaEdge Technologies?,The IT Security Policy outlines security responsibilities,
How does NovaEdge Technologies handle Data Protection & Privacy?,The Data Protection & Privacy policy defines how personal and organizational data must be handled securely. Concerns and incidents must be submitted via CogniAssist. IT or HR responds within SLA timelines.,IT
What is the Asset Management policy at NovaEdge Technologies?,The Asset Management policy explains how company assets should be requested,
What is the Employee Onboarding process at NovaEdge Technologies?,The Employee Onboarding policy outlines procedures and responsibilities for new hires. All onboarding requests should be raised through CogniAssist. HR or IT responds within SLA timelines.,HR
What is the Offboarding Policy at NovaEdge Technologies?,The Offboarding Policy defines procedures when an employee exits the organization. Requests must be submitted via CogniAssist and escalated if required. HR or IT responds within SLA timelines.,HR
How does Expense Reimbursement work at NovaEdge Technologies?,The Expense Reimbursement policy explains how employees can submit reimbursement claims and required approvals. Requests should be submitted via CogniAssist. Finance or HR responds within SLA timelines.,Finance
What is the Travel Policy at NovaEdge Technologies?,The Travel Policy defines rules,
What is the Meeting & Travel Approval process at NovaEdge Technologies?,The Meeting & Travel Approval policy outlines approval workflows and escalation paths. Employees must submit requests through CogniAssist and follow defined guidelines.,Finance
What are the Workplace Safety guidelines at NovaEdge Technologies?,The Workplace Safety policy explains employee safety responsibilities,
What is the Equal Opportunity policy at NovaEdge Technologies?,The Equal Opportunity policy ensures fair treatment and non-discrimination in the workplace. Employees should submit concerns or grievances via CogniAssist. HR responds within SLA timelines.,HR
What are the Working Hours & Attendance rules at NovaEdge Technologies?,The Working Hours & Attendance policy outlines expected working hours,
How does Payroll & Compensation work at NovaEdge Technologies?,The Payroll & Compensation policy explains salary processing,
What Training & Development opportunities are available at NovaEdge Technologies?,The Training & Development policy outlines learning opportunities,
How does Feedback & Grievance handling work at NovaEdge Technologies?,The Feedback & Grievance policy explains how employees can raise concerns or feedback. Requests must be submitted through CogniAssist and escalated if required. HR responds within SLA timelines.,HR
What is NovaEdge Technologies and what should new employees know?,"Welcome to NovaEdge Technologies. NovaEdge is a technology-driven organization focused on operational excellence, innovation, and employee empowerment. This handbook provides practical guidance to help employees navigate daily tasks, policies, and common requests. For IT-related issues, employees should use the CogniAssist chat to automatically create tickets and receive guided resolution steps.",Company
What is the vision and mission of NovaEdge Technologies?,"NovaEdge Technologies’ vision is to deliver secure, scalable, and intelligent digital solutions while fostering a culture of accountability and continuous learning. The mission is to empower employees with clear processes, efficient tools, and transparent communication to support business and personal growth.",Company
How do new employees get started at NovaEdge Technologies?,"The Getting Started guide helps new employees understand essential tools, workflows, and internal processes. Employees are encouraged to review onboarding materials, access internal systems, and use CogniAssist for IT or HR-related assistance. Step-by-step instructions are provided to ensure a smooth transition.",HR
What does the IT & Security Guide cover at NovaEdge Technologies?,"The IT & Security Guide outlines best practices for system access, password management, data protection, and acceptable use of company resources. Employees must follow security protocols and report incidents using CogniAssist to ensure compliance and protect company data.",IT
How can employees use CogniAssist effectively?,"CogniAssist is NovaEdge Technologies’ internal support assistant used for IT, HR, and operational requests. Employees can use the chat interface to raise issues, automatically create support tickets, track progress, and receive step-by-step guidance for common tasks.",IT
How do employees set up VPN and remote work access?,"The VPN & Remote Work Setup guide explains how employees can securely access company systems from remote locations. Employees must follow setup instructions, comply with security policies, and use CogniAssist to request assistance or report access issues.",IT
How can employees request hardware at NovaEdge Technologies?,"Employees can request laptops, peripherals, and other hardware through approved procedures. Requests must be submitted via CogniAssist with required justifications. IT reviews requests and responds according to defined SLA timelines.",IT
