question,answers,category
My laptop is completely dead and I cannot log in or work. What should I do immediately?,"If your laptop is not functioning and you are unable to work, raise a High or Critical priority request through CogniAssist using an alternate device or mobile. IT will initiate urgent troubleshooting or replacement based on SLA guidelines.",IT
I accidentally clicked a suspicious email link. What should I do now?,Immediately disconnect from the network if possible and report the incident through CogniAssist as High priority. Do not attempt further actions until IT Security provides instructions.,Security
My salary was not credited on time. Who do I contact?,Raise a payroll issue through CogniAssist with relevant details such as pay period and employee ID. Finance or HR will investigate and respond within SLA timelines.,Finance
I applied for leave but my manager has not approved it and the date is approaching. What can I do?,Submit a follow-up request through CogniAssist and mark the priority as High if the leave date is imminent. HR will assist with escalation if required.,HR
I am locked out of all systems and cannot access email or VPN. How do I get help?,Use CogniAssist from a personal device to raise an access issue. Mark the request as High priority. IT will verify your identity and restore access according to security protocols.,IT
I lost my company laptop while traveling. What steps should I take?,Report the loss immediately through CogniAssist with High or Critical priority. IT Security will initiate data protection actions and Asset Management will guide next steps.,Security
My manager is not responding to repeated work-related requests. How should I escalate?,Raise the concern through CogniAssist under HR or General category. HR will review and guide escalation while maintaining confidentiality.,HR
I believe my performance review was unfair. How can I raise this concern?,Submit feedback or grievance through CogniAssist under HR category. HR will review the case following defined grievance handling procedures.,HR
I am unable to submit expenses and the deadline is today. What should I do?,Immediately raise an expense issue through CogniAssist and mark priority as High. Finance will review and provide guidance on next steps.,Finance
I received a phishing email that looks like it came from internal HR. What should I do?,Do not interact with the email. Report it immediately through CogniAssist as a Security incident. IT Security will investigate and issue guidance if needed.,Security
I am being asked to share my password with a teammate. Is this allowed?,Sharing passwords is strictly prohibited. Report the request through CogniAssist under Security. IT Security will take appropriate action and provide guidance.,Security
My VPN is connected but I still cannot access internal systems. What can I do?,Raise an IT access issue through CogniAssist with relevant screenshots. IT will diagnose connectivity or permission issues and resolve them as per SLA.,IT
I am feeling unsafe at the workplace due to an incident. Who should I contact?,Report the incident immediately through CogniAssist under HR or Safety category with High priority. HR and management will take necessary action to ensure safety.,HR
My personal data appears to be visible to others. How do I report this?,Report the issue immediately through CogniAssist as a Data Privacy concern. IT or HR will investigate and take corrective action.,Security
I was assigned work outside my role repeatedly. How can I address this?,Raise the concern through CogniAssist under HR category. HR will review role expectations and coordinate with management if required.,HR
I missed an important company announcement. Where can I check official updates?,"Company updates and announcements are available through internal communication channels. If clarification is required, raise a request through CogniAssist.",Company
I need urgent approval for travel but cannot reach anyone. What should I do?,Submit a High priority request through CogniAssist under Travel or Finance category. The system will escalate to the appropriate approver.,Finance
I believe company policy is being violated. How do I report this safely?,Report policy violations confidentially through CogniAssist. HR or Compliance teams will review the report and ensure appropriate action is taken.,Policy
My access was revoked without explanation. How can I get clarification?,Raise an access clarification request through CogniAssist under IT category. IT will review and coordinate with HR if needed.,IT
I am experiencing continuous stress due to workload. Is there any support available?,Raise the concern through CogniAssist under HR category. HR will provide guidance on support resources and next steps.,HR
