question,answers,category
What is the Introduction & Purpose policy at NovaEdge Technologies?,"NovaEdge Technologies maintains the Introduction & Purpose policy. Employees are expected to follow outlined responsibilities and procedures. Requests must be submitted through CogniAssist and escalation matrices followed. HR or IT will respond within SLA timelines. For urgent matters, priority should be marked as High or Critical.",Policy
What is the Leave Policy at NovaEdge Technologies?,The Leave Policy defines responsibilities and procedures for applying leave. Employees must submit requests through CogniAssist. HR will respond within SLA timelines. Urgent leave matters should be marked as High or Critical.,HR
What are the Hybrid Work Guidelines at NovaEdge Technologies?,Hybrid Work Guidelines describe procedures for remote and hybrid working. Requests and queries must be raised through CogniAssist and escalated if required. HR or IT will respond within SLA timelines.,HR
What is the Performance Review Policy at NovaEdge Technologies?,"The Performance Review Policy outlines evaluation procedures, responsibilities, and escalation paths. Employees must follow defined processes and submit queries via CogniAssist. HR responds within SLA timelines.",HR
What benefits and insurance policies are provided by NovaEdge Technologies?,"The Benefits & Insurance policy explains employee benefits, insurance coverage, and related procedures. Requests must be submitted through CogniAssist. HR responds within SLA timelines. Urgent issues should be marked as High or Critical.",HR
What is the Code of Conduct at NovaEdge Technologies?,The Code of Conduct defines expected employee behavior and organizational standards. Reporting and procedures must be followed via CogniAssist. HR or IT responds within SLA timelines.,Policy
What is the IT Security Policy at NovaEdge Technologies?,"The IT Security Policy outlines security responsibilities, procedures, and escalation methods. Employees must follow security guidelines and report incidents via CogniAssist. IT responds within SLA timelines.",IT
How does NovaEdge Technologies handle Data Protection & Privacy?,The Data Protection & Privacy policy defines how personal and organizational data must be handled securely. Concerns and incidents must be submitted via CogniAssist. IT or HR responds within SLA timelines.,IT
What is the Asset Management policy at NovaEdge Technologies?,"The Asset Management policy explains how company assets should be requested, used, and returned. Employees must submit requests through CogniAssist. IT or HR responds within SLA timelines.",IT
What is the Employee Onboarding process at NovaEdge Technologies?,The Employee Onboarding policy outlines procedures and responsibilities for new hires. All onboarding requests should be raised through CogniAssist. HR or IT responds within SLA timelines.,HR
What is the Offboarding Policy at NovaEdge Technologies?,The Offboarding Policy defines procedures when an employee exits the organization. Requests must be submitted via CogniAssist and escalated if required. HR or IT responds within SLA timelines.,HR
How does Expense Reimbursement work at NovaEdge Technologies?,The Expense Reimbursement policy explains how employees can submit reimbursement claims and required approvals. Requests should be submitted via CogniAssist. Finance or HR responds within SLA timelines.,Finance
What is the Travel Policy at NovaEdge Technologies?,"The Travel Policy defines rules, approvals, and procedures for official travel. Employees must submit travel requests through CogniAssist. Urgent matters should be marked as High or Critical.",Finance
What is the Meeting & Travel Approval process at NovaEdge Technologies?,The Meeting & Travel Approval policy outlines approval workflows and escalation paths. Employees must submit requests through CogniAssist and follow defined guidelines.,Finance
What are the Workplace Safety guidelines at NovaEdge Technologies?,"The Workplace Safety policy explains employee safety responsibilities, procedures, and reporting mechanisms. Concerns must be raised via CogniAssist.",Policy
What is the Equal Opportunity policy at NovaEdge Technologies?,The Equal Opportunity policy ensures fair treatment and non-discrimination in the workplace. Employees should submit concerns or grievances via CogniAssist. HR responds within SLA timelines.,HR
What are the Working Hours & Attendance rules at NovaEdge Technologies?,"The Working Hours & Attendance policy outlines expected working hours, attendance tracking, and escalation procedures. Requests must be submitted via CogniAssist.",HR
How does Payroll & Compensation work at NovaEdge Technologies?,"The Payroll & Compensation policy explains salary processing, compensation structure, and related procedures. Queries must be raised through CogniAssist. Finance or HR responds within SLA timelines.",Finance
What Training & Development opportunities are available at NovaEdge Technologies?,"The Training & Development policy outlines learning opportunities, training requests, and approval procedures. Employees must submit requests via CogniAssist. HR responds within SLA timelines.",HR
How does Feedback & Grievance handling work at NovaEdge Technologies?,The Feedback & Grievance policy explains how employees can raise concerns or feedback. Requests must be submitted through CogniAssist and escalated if required. HR responds within SLA timelines.,HR
