question,answers,category
I’m honestly exhausted and starting to question if staying here is worth it anymore.,We’re sorry you’re feeling this way. Please raise this concern through CogniAssist under HR so support options and workload adjustments can be discussed.,HR
I don’t feel valued anymore and it’s affecting my motivation to continue here.,Thank you for sharing this. Please submit feedback through CogniAssist under HR so concerns can be reviewed and addressed confidentially.,HR
I’ve been thinking a lot about leaving because nothing seems to change.,We understand your concern. Please raise this through CogniAssist so HR can discuss next steps and possible improvements.,HR
My workload keeps increasing and I don’t see any long-term support. I’m close to giving up.,We’re sorry for the stress you’re experiencing. Please raise this through CogniAssist under HR for workload and support review.,HR
I don’t see any growth or learning opportunities here anymore.,Please submit this feedback through CogniAssist under HR. Career development options and next steps can be discussed.,HR
I feel burned out and ignored whenever I raise concerns.,We regret your experience. Please raise this through CogniAssist under HR so appropriate support resources can be offered.,HR
"If this situation continues, I don’t think I can stay much longer.",We understand your concern. Please submit the issue through CogniAssist so HR can intervene and discuss resolution paths.,HR
I’ve started looking at other opportunities because I feel stuck here.,Thank you for being open. Please raise this through CogniAssist under HR so growth and role alignment can be reviewed.,HR
I’m seriously considering resigning due to constant pressure and lack of clarity.,We’re sorry you’re feeling overwhelmed. Please raise this through CogniAssist under HR for immediate discussion and support.,HR
"No matter how much effort I put in, it goes unnoticed. What’s the point?",We understand your frustration. Please submit this through CogniAssist under HR so recognition and performance feedback can be addressed.,HR
I don’t feel mentally well because of work stress lately.,Your wellbeing matters. Please raise this through CogniAssist under HR to access available support resources.,HR
I’ve lost trust in management decisions and it’s making me reconsider my future here.,We’re sorry to hear this. Please submit feedback through CogniAssist so HR can review and facilitate dialogue.,HR
I’m tired of repeating the same concerns with no action taken.,We understand your concern. Please raise this again through CogniAssist so it can be escalated appropriately.,HR
"If things don’t improve soon, I’ll have to move on for my own wellbeing.",We acknowledge your concern. Please submit this through CogniAssist under HR so immediate steps can be discussed.,HR
I don’t feel aligned with the company direction anymore.,Thank you for the feedback. Please raise this through CogniAssist so HR can discuss alignment and role expectations.,HR
I feel isolated and disconnected from the team and company.,We’re sorry you’re experiencing this. Please raise the concern through CogniAssist under HR for support and engagement options.,HR
I’m not sure anyone would even notice if I left.,We regret that you feel this way. Please submit this through CogniAssist so HR can address engagement and recognition concerns.,HR
I’m constantly stressed and it’s affecting my personal life.,Your health is important. Please raise this through CogniAssist under HR to explore support and workload adjustments.,HR
I’ve lost enthusiasm for my role and don’t see a path forward.,Please submit this feedback through CogniAssist under HR so career guidance and next steps can be discussed.,HR
I feel like resigning might be the only way to be heard.,We’re sorry you feel unheard. Please raise this through CogniAssist so HR can intervene and ensure your concerns are addressed.,HR
